settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.489961, 0.231246,13, 19, 66, 18,53,61,26,21, 19,27,7,8,21 
 2,32.480643, 0.305973,10, 16, 54, 27,16,19,9,19, 11,19,8,9,2 
 3,32.486729, 0.294442,10, 28, 52, 5,28,43,24,18, 10,7,18,18,8 
 4,32.352637, 0.413967,12, 11, 68, 28,18,20,13,12, 9,14,10,3,6 
 5,32.495391, 0.451814,6, 22, 70, 13,28,19,14,18, 10,17,13,14,14 
 6,32.354324, 0.441005,9, 6, 53, 8,30,53,43,18, 13,7,9,5,35 
 7,32.427450, 0.571540,9, 9, 68, 23,25,19,26,19, 6,17,1,2,24 
 8,32.542633, 0.606946,6, 20, 57, 14,30,24,12,11, 10,26,7,18,10 
 9,32.387210, 0.495124,11, 16, 59, 20,32,15,22,17, 18,17,23,13,18 
 10,32.416878, 0.338546,8, 36, 60, 9,37,34,25,17, 14,15,20,31,4 
