settlement_num,longitude,latitude,D_1,D_2,D_3,E,a_1,a_2,a_3,so_1,so_2,so_3,demand_1,demand_2,demand_3 
 1,32.521517, 0.608510,11, 23, 59, 6,22,14,25,19, 8,13,14,13,13 
 2,32.447419, 0.458487,11, 34, 54, 20,33,48,36,13, 9,16,22,12,30 
 3,32.429778, 0.626405,10, 10, 56, 2,39,40,36,12, 15,10,8,30,10 
 4,32.513643, 0.450249,5, 29, 52, 5,27,30,14,13, 17,24,12,18,5 
 5,32.584465, 0.267250,10, 9, 65, 7,27,36,27,14, 11,10,5,21,27 
 6,32.535062, 0.443067,8, 10, 70, 27,12,20,17,18, 18,20,8,5,17 
 7,32.500927, 0.587652,13, 35, 61, 18,17,7,11,10, 10,26,11,2,2 
 8,32.531648, 0.317781,7, 16, 55, 12,47,46,29,12, 10,22,7,15,29 
 9,32.534671, 0.245289,10, 26, 55, 13,20,29,35,18, 5,14,2,1,24 
 10,32.394450, 0.501218,6, 19, 63, 22,49,28,29,22, 15,20,12,9,2 
 11,32.545599, 0.316519,12, 36, 64, 8,18,24,17,14, 13,18,10,11,11 
 12,32.491965, 0.381847,6, 32, 51, 25,23,43,19,14, 17,14,11,42,11 
 13,32.564902, 0.286033,7, 36, 58, 15,11,16,23,10, 14,11,5,5,23 
 14,32.422720, 0.630886,8, 15, 56, 14,17,14,16,11, 13,22,7,3,9 
 15,32.447278, 0.147466,13, 31, 62, 24,25,21,27,21, 5,19,18,16,16 
 16,32.540600, 0.621536,12, 12, 69, 19,60,46,35,16, 16,22,37,39,24 
 17,32.552006, 0.522730,7, 13, 62, 20,39,24,19,10, 19,25,19,22,3 
 18,32.594032, 0.472225,8, 18, 70, 4,31,18,26,18, 17,27,16,15,25 
 19,32.494495, 0.517784,12, 7, 63, 4,20,45,45,11, 18,16,14,16,11 
 20,32.407994, 0.474310,5, 21, 69, 24,11,14,13,18, 5,18,10,14,7 
